Set	Total
{fosfomycin, phosphonic acid}	148
{aminoglycoside ;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;phenicol ;tetracycline, colistin, multidrug}	2
{bacitracin, glycopeptide}	968
{aminoglycoside, beta-lactam}	16
{cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, drug_and_biocide_resistance, multidrug, tetracycline}	1
{aminoglycoside, efflux}	2
{mupirocin, mupirocin-like}	3
{fluoroquinolone, quinolone}	223
{MLS, ml}	80
{diaminopyrimidine, trimethoprim}	40
{multidrug, phenicol}	12
{fusidane, fusidic acid, fusidic_acid}	4
{colistin, lipopeptide, peptide, polymyxin}	50
{glycopeptide, polymyxin}	43
{MLS, macrolide, multidrug}	3
{aminoglycoside, na}	6
{MLS, aminoglycoside ;diaminopyrimidine ;macrolide ;oxazolidinone ;phenicol, drug_and_biocide_resistance, macrolide/phenicol, multidrug}	1
{macrolide, ml}	13
{drug_and_biocide_resistance, multidrug}	32
{lincosamide, ml}	5
{folate pathway antagonist, sulfonamide}	35
{polymyxin, polypeptide}	54
{colistin, peptide}	9
{aminocoumarin, drug_and_biocide_and_metal_resistance, multidrug}	3
{chloramphenicol, drug_and_biocide_resistance, multidrug, phenicol}	1
{beta-lactam, drug_and_biocide_resistance, multidrug}	2
{cephalosporin;fluoroquinolone ;penicillin beta-lactam, drug_and_biocide_resistance, multidrug}	1
{drug_and_biocide_resistance, multidrug, tetracycline}	5
{drug_and_biocide_and_metal_resistance, multidrug}	7
{MLS, lincosamide, multidrug}	4
{lipopeptide, polymyxin}	8
{MLS, ml, streptogramin, streptogramin a, streptogramin a ;streptogramin}	5
{glycopeptide, lipopeptide, peptide}	5
{MLS, lincosamide ;pleuromutilin ;streptogramin, lincosamide, streptogramin a, pleuromutilin, lincosamide/streptogramin, ml, multidrug}	1
{amphenicol, chloramphenicol, phenicol}	29
{aminoglycoside, beta-lactam, macrolide}	1
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;penicillin beta-lactam;tetracycline, multidrug}	1
{MLS, ml, streptogramin, streptogramin a}	7
{chloramphenicol, phenicol}	74
{colistin, glycopeptide, polymyxin}	1
{colistin, glycopeptide, lipopeptide, peptide}	1
{amphenicol, phenicol}	5
{colistin, glycopeptide, lipopeptide, peptide, polymyxin}	9
{MLS, aminocoumarin, quinolone}	2
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;rifamycin, multidrug}	2
{cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, multidrug}	3
{chloramphenicol, colistin, lipopeptide}	1
{MLS, macrolide, ml}	60
{drug_and_biocide_resistance, efflux}	19
{amphenicol, drug_and_biocide_resistance, multidrug, phenicol}	2
{drug_and_biocide_resistance, efflux, macrolide, multidrug}	2
{MLS, lincosamide, lincosamide, streptogramin a, pleuromutilin, multidrug}	4
{macrolide, multidrug}	6
{drug_and_biocide_resistance, multidrug, phenicol/quinolone}	5
{chloramphenicol, drug_and_biocide_resistance, phenicol}	1
{beta-lactam, lipopeptide, peptide}	2
{MLS, macrolide/streptogramin, ml}	3
{diaminopyrimidine, na, trimethoprim}	16
{MLS, macrolide}	10
{colistin, peptide, polymyxin}	26
{MLS, macrolide ;streptogramin b ;streptogramin, macrolide, streptogramin b, macrolide/streptogramin, ml}	2
{colistin, lipopeptide, multidrug}	1
{beta-lactam, multidrug}	22
{disinfecting agents and antiseptics;fluoroquinolone, multidrug}	3
{not found, stx2}	8
{multidrug, tetracycline}	14
{cephalosporin;fluoroquinolone ;fusidane ;macrolide, drug_and_biocide_and_metal_resistance, macrolide, multidrug}	1
{drug_and_biocide_resistance, efflux, multidrug}	12
{MLS, lincosamide/macrolide, ml}	9
{disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;phenicol ;tetracycline, multidrug}	2
{multidrug, na}	8
{colistin, lipopeptide, peptide}	2
{cephalosporin;fluoroquinolone ;fusidane ;macrolide, drug_and_biocide_and_metal_resistance, multidrug}	3
{MLS, lincosamide, ml}	5
{multidrug, not found}	1
{drug_and_biocide_resistance, fluoroquinolone, multidrug, quaternary ammonium, quinolone}	1
{aminoglycoside, aminoglycoside ;fluoroquinolone, aminoglycoside/quinolone, multidrug}	1
{MLS, macrolide ;streptogramin, macrolide, streptogramin b, macrolide/streptogramin, ml, multidrug}	1
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide/pleuromutilin/streptogramin, multidrug}	4
{drug_and_biocide_resistance, macrolide, multidrug}	3
{MLS, nitroimidazole}	2
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;penicillin beta-lactam, multidrug, na}	2
{rifampin, rifamycin}	27
{antibacterial free fatty acid, drug_and_biocide_resistance}	1
{bacitracin, glycopeptide, peptide}	4
{multidrug, polymyxin}	5
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;phenicol ;tetracycline, multidrug, quinolone}	1
{disinfecting agents and antiseptic, multidrug, quaternary ammonium, quinolone}	1
